username,score,content,tanggal,label
Pengguna Google,5,Good,2026-05-18 21:39:53,positif
Pengguna Google,5,Jelek,2026-05-18 21:39:11,positif
Pengguna Google,1,pelayanan pada lama,2026-05-18 21:34:54,negatif
Pengguna Google,5,sangat bermanfaat,2026-05-18 21:26:54,positif
Pengguna Google,5,Kenapa nomor saya tiap daftar gopayletter selalu ditolak,2026-05-18 20:53:05,positif
Pengguna Google,1,tarif terlalu tinggi,2026-05-18 20:51:45,negatif
Pengguna Google,1,harus verifikasi email tapi link email juga tidak di kirim .. aneh,2026-05-18 20:46:54,negatif
Pengguna Google,4,"gojek makin hari makin mahal aja, udah gak kayak dulu...",2026-05-18 20:34:42,positif
Pengguna Google,5,driver nya baik-baik,2026-05-18 20:27:34,positif
Pengguna Google,1,apk gk jls titik gk sesuai mendingan pake grab lokasi rumah sya bnr,2026-05-18 20:23:50,negatif
Pengguna Google,4,Cukup membantu dan memudahkan untuk q yg mageran🙏,2026-05-18 19:55:48,positif
Pengguna Google,5,makasih pa,2026-05-18 19:47:01,positif
Pengguna Google,5,"Pelayanan mantap, pertahankan.",2026-05-18 19:43:45,positif
Pengguna Google,1,jangan download aolikasi berbahaya ada 22++,2026-05-18 19:29:49,negatif
Pengguna Google,5,"aman,nyaman,no cancel cancel",2026-05-18 19:29:31,positif
Pengguna Google,5,bagus,2026-05-18 19:28:20,positif
Pengguna Google,4,bagus,2026-05-18 19:17:49,positif
Pengguna Google,4,"membantu sekali, apalagi harus keluar masuk desa.",2026-05-18 19:12:20,positif
Pengguna Google,5,memuaskan,2026-05-18 19:12:16,positif
Pengguna Google,5,sesuai waktu,2026-05-18 19:01:22,positif
Pengguna Google,5,top,2026-05-18 18:59:00,positif
Pengguna Google,1,egg,2026-05-18 18:38:35,negatif
Pengguna Google,5,baik,2026-05-18 18:37:37,positif
Pengguna Google,5,perjalanan paling nyaman,2026-05-18 18:37:35,positif
Pengguna Google,5,mantab,2026-05-18 18:34:34,positif
