username,score,content,tanggal,label,clean_text
Pengguna Google,5,Good,2026-05-18 21:39:53,positif,bagus
Pengguna Google,5,Jelek,2026-05-18 21:39:11,positif,buruk
Pengguna Google,1,pelayanan pada lama,2026-05-18 21:34:54,negatif,layan
Pengguna Google,5,sangat bermanfaat,2026-05-18 21:26:54,positif,sangat manfaat
Pengguna Google,5,Kenapa nomor saya tiap daftar gopayletter selalu ditolak,2026-05-18 20:53:05,positif,nomor daftar gopayletter tolak
Pengguna Google,1,tarif terlalu tinggi,2026-05-18 20:51:45,negatif,tarif tinggi
Pengguna Google,1,harus verifikasi email tapi link email juga tidak di kirim .. aneh,2026-05-18 20:46:54,negatif,verifikasi email tapi link email tidak kirim aneh
Pengguna Google,4,"gojek makin hari makin mahal aja, udah gak kayak dulu...",2026-05-18 20:34:42,positif,gojek mahal tidak kayak
Pengguna Google,5,driver nya baik-baik,2026-05-18 20:27:34,positif,driver baikbaik
Pengguna Google,1,apk gk jls titik gk sesuai mendingan pake grab lokasi rumah sya bnr,2026-05-18 20:23:50,negatif,aplikasi tidak jls titik tidak sesuai mending pakai grab lokasi rumah sya
Pengguna Google,4,Cukup membantu dan memudahkan untuk q yg mageran🙏,2026-05-18 19:55:48,positif,bantu mudah mageran
Pengguna Google,5,makasih pa,2026-05-18 19:47:01,positif,terima kasih pa
Pengguna Google,5,"Pelayanan mantap, pertahankan.",2026-05-18 19:43:45,positif,layan mantap tahan
Pengguna Google,1,jangan download aolikasi berbahaya ada 22++,2026-05-18 19:29:49,negatif,jangan download aolikasi bahaya
Pengguna Google,5,"aman,nyaman,no cancel cancel",2026-05-18 19:29:31,positif,amannyamanno cancel cancel
Pengguna Google,5,bagus,2026-05-18 19:28:20,positif,bagus
Pengguna Google,4,"membantu sekali, apalagi harus keluar masuk desa.",2026-05-18 19:12:20,positif,bantu sekali desa
Pengguna Google,5,memuaskan,2026-05-18 19:12:16,positif,muas
Pengguna Google,5,sesuai waktu,2026-05-18 19:01:22,positif,sesuai waktu
Pengguna Google,5,top,2026-05-18 18:59:00,positif,top
Pengguna Google,1,egg,2026-05-18 18:38:35,negatif,egg
Pengguna Google,5,perjalanan paling nyaman,2026-05-18 18:37:35,positif,jalan paling nyaman
Pengguna Google,5,mantab,2026-05-18 18:34:34,positif,mantap
Pengguna Google,1,"potongan komisi ke driver 40%, layanan goride reguler dijadikan hemat semua begitu masuk ke driver. tidak sesuai fakta di lapangan . cs bot menyusahkan driver dan pelanggan.",2026-05-18 18:21:11,negatif,potong komisi driver layan goride reguler jadi hemat driver tidak sesuai fakta lapang customer service bot susah driver langgan
Pengguna Google,5,mantap,2026-05-18 18:07:03,positif,mantap
Pengguna Google,3,ongkirnya makin mahal sekali..,2026-05-18 18:04:39,netral,ongkirnya mahal sekali
Pengguna Google,5,"nyaman, murah dan cepat",2026-05-18 17:32:56,positif,nyaman murah cepat
Pengguna Google,5,sangat terbantu dengan adanya gojek,2026-05-18 17:30:53,positif,sangat bantu gojek
Pengguna Google,5,bagus banget aku kasih lima bintang,2026-05-18 17:15:39,positif,bagus banget kasih bintang
Pengguna Google,5,"besstt... sukses terus, ttp jadi andalan semua orang.",2026-05-18 17:08:04,positif,besstt sukses andal
Pengguna Google,5,very helpful,2026-05-18 17:07:11,positif,very helpful
Pengguna Google,5,aku ga download tapi semangat pak nadiem,2026-05-18 16:56:51,positif,tidak download tapi semangat nadiem
Pengguna Google,5,sangat membantu,2026-05-18 16:44:39,positif,sangat bantu
Pengguna Google,5,ngebantu bngt kalo sekolah,2026-05-18 16:41:12,positif,ngebantu banget kalo sekolah
Pengguna Google,5,"Mantab, paten",2026-05-18 16:34:54,positif,mantap paten
Pengguna Google,5,keren gojek,2026-05-18 16:32:59,positif,bagus gojek
Pengguna Google,5,pokoknya keren dah ini aplikasi,2026-05-18 16:32:57,positif,pokok bagus aplikasi
Pengguna Google,5,selalu bisa diandalkan,2026-05-18 16:23:49,positif,andal
Pengguna Google,5,mau kemana aja jadi gampang. terimakasih,2026-05-18 16:20:28,positif,mana gampang terimakasih
Pengguna Google,5,sangat di butuhkan ketika pingin jajan atau makanan yg sangat enak,2026-05-18 16:18:20,positif,sangat butuh pingin jajan makan sangat
Pengguna Google,5,"Lengkap dahh pokoknya,driver juga baik"" banget pokoknya the best dahh",2026-05-18 16:17:17,positif,lengkap dahh pokoknyadriver banget pokok the baik dahh
Pengguna Google,5,mantul,2026-05-18 16:10:04,positif,mantap
Pengguna Google,5,good job grab sukses sellu,2026-05-18 16:06:44,positif,bagus job grab sukses sellu
Pengguna Google,5,selamat ini layanan Gojek semua baik dan memuaskan,2026-05-18 15:58:11,positif,selamat layan gojek muas
Pengguna Google,5,murahh murahh,2026-05-18 15:58:07,positif,murahh murahh
Pengguna Google,5,banyak promo🥰,2026-05-18 15:49:15,positif,promo
Pengguna Google,5,tolong pihak gopay mempertimbangkan untuk mengembalikan status akun saya dari yg awalnya reguler menjadi basic hanya karna ketidak tahuan saya 👏,2026-05-18 15:39:24,positif,tolong gopay timbang kembali status akun reguler basic karna tidak tahu
Pengguna Google,5,nyaman,2026-05-18 15:37:59,positif,nyaman
Pengguna Google,5,cepat,2026-05-18 15:37:18,positif,cepat
Pengguna Google,4,plis di tambah dana aku mau naik gojek tapi gak bisa bayar pake dana harus ovo atau gopay,2026-05-18 15:18:23,positif,plis dana gojek tapi tidak bayar pakai dana ovo gopay
Pengguna Google,5,mantep,2026-05-18 15:15:23,positif,mantep
